fecha,linea,afluencia_total,afluencia_promedio
2016-05-15,Línea 4,52952,5295.2
2016-05-21,Línea B,447222,22361.1
2016-05-17,Línea 6,158648,14422.545454545454
2017-08-03,Línea 8,386452,20339.57894736842
2017-08-23,Línea B,476809,22705.190476190477
2017-08-22,Línea 8,375267,19750.894736842107
2016-10-19,Línea 5,276253,21250.23076923077
2013-01-28,Línea 1,795047,39752.35
2013-01-06,Línea 9,144080,12006.666666666666
2013-01-25,Línea A,273504,27350.4
2019-05-23,Línea 7,365483,26105.928571428572
2013-08-02,Línea B,441395,22069.75
2013-08-07,Línea 5,261135,20087.30769230769
2017-12-26,Línea 12,279868,13993.4
2016-12-23,Línea 8,406333,21385.947368421053
2016-12-12,Línea 4,94670,9467.0
2016-12-11,Línea 6,90131,8193.727272727272
2018-08-20,Línea 8,387064,20371.78947368421
2013-07-06,Línea 8,318084,16741.263157894737
2013-07-23,Línea 5,199434,16619.5
2013-07-02,Línea 11,9000,9000.0
2019-10-04,Línea 3,748003,35619.19047619047
2019-10-20,Línea 2,456759,21750.428571428572
2019-10-15,Línea 6,169689,15426.272727272728
2017-03-09,Línea B,467374,22255.904761904763
2017-03-21,Línea 7,311651,22260.785714285714
2017-03-29,Línea 9,387881,32323.416666666668
2017-03-18,Línea 9,324080,27006.666666666668
2013-08-10,Línea 6,109240,9930.90909090909
2016-08-27,Línea A,269600,26960.0
2016-08-01,Línea 1,705485,37130.78947368421
2016-05-15,Línea B,288288,13728.0
2016-05-10,Línea 2,717772,29907.166666666668
2016-05-01,Línea 7,123231,8802.214285714286
2017-12-15,Línea B,484281,23061.0
2017-12-28,Línea A,257473,25747.3
2017-12-01,Línea 1,811331,40566.55
2017-12-21,Línea A,283821,28382.1
2013-10-19,Línea 4,92461,9246.1
2013-10-13,Línea 1,449652,23665.894736842107
2013-10-28,Línea A,280159,28015.9
2013-01-12,Línea 12,179151,8957.55
2013-01-19,Línea 2,728860,34707.619047619046
2013-01-07,Línea A,209063,23229.222222222223
2019-05-21,Línea 4,90252,9025.2
2018-08-17,Línea 3,776034,36954.0
2013-07-27,Línea B,426033,21301.65
2013-07-19,Línea 8,366010,19263.684210526317
2013-07-12,Línea 5,256548,19734.46153846154
2013-07-18,Línea 8,377846,19886.63157894737
2019-10-21,Línea 2,779998,33912.95652173913
2019-10-15,Línea 3,772278,36775.142857142855
2019-10-02,Línea 9,159002,14454.727272727272
2019-10-05,Línea 7,286479,22036.846153846152
2019-05-04,Línea 9,324611,27050.916666666668
2018-10-18,Línea 9,334757,27896.416666666668
2018-10-01,Línea 1,725497,36274.85
2018-10-24,Línea 3,760764,36226.857142857145
2018-10-25,Línea 9,371928,30994.0
2013-08-23,Línea 12,314936,16575.57894736842
2013-08-20,Línea 9,380306,31692.166666666668
2013-08-18,Línea 11,36536,36536.0
2016-08-15,Línea 2,838043,34918.458333333336
2013-05-06,Línea 12,254648,13402.526315789473
2013-05-17,Línea 7,323691,23120.785714285714
2016-05-11,Línea 4,89132,8913.2
2017-12-05,Línea 12,377952,19892.21052631579
2017-12-21,Línea 8,397846,20939.263157894737
2017-12-03,Línea 6,81769,7433.545454545455
2017-08-11,Línea 12,382239,19111.95
2016-10-23,Línea 12,147894,8216.333333333334
2019-08-22,Línea B,413191,20659.55
2019-08-31,Línea B,406365,20318.25
2019-08-06,Línea A,178110,17811.0
2019-08-27,Línea A,257332,25733.2
2019-08-04,Línea 5,242266,18635.846153846152
2013-10-15,Línea B,501896,23899.809523809523
2013-10-07,Línea 8,377955,20997.5
2013-10-13,Línea 2,457757,19902.478260869564
2013-10-07,Línea 7,298709,21336.35714285714
2013-10-07,Línea 6,145464,14546.4
2013-01-18,Línea 2,956548,38261.92
2019-05-20,Línea 7,342418,24458.428571428572
2016-12-19,Línea 2,847440,35310.0
2016-12-17,Línea 6,124379,11307.181818181818
2018-08-14,Línea 1,758082,37904.1
2018-08-05,Línea 5,142740,10980.0
2013-07-08,Línea 12,272570,13628.5
2019-10-14,Línea B,439684,23141.263157894737
2019-10-15,Línea 4,92411,9241.1
2017-03-21,Línea 12,387243,19362.15
2017-03-12,Línea 12,164665,8233.25
2017-03-06,Línea 7,307717,21979.785714285714
2019-05-12,Línea 4,102276,10227.6
2018-10-18,Línea 8,414680,23037.777777777777
2013-08-10,Línea 9,283726,23643.833333333332
2013-08-11,Línea 6,77798,7779.8
2016-08-21,Línea 12,146266,7698.210526315789
2013-05-17,Línea 8,411732,21670.105263157893
2016-05-19,Línea 6,140215,14021.5
2016-05-29,Línea 4,56661,5666.1
2016-05-14,Línea 4,86048,8604.8
2017-12-24,Línea 4,56480,5648.0
2017-12-02,Línea 8,393991,20736.36842105263
2016-10-04,Línea A,323171,32317.1
2016-10-06,Línea 2,882609,36775.375
2019-08-07,Línea 8,357616,18821.894736842107
2013-10-15,Línea 3,839366,39969.80952380953
2013-01-19,Línea B,446003,21238.238095238095
2019-05-16,Línea 7,355059,25361.35714285714
2016-12-22,Línea A,292263,29226.3
2018-08-26,Línea 7,124312,9562.461538461539
2013-07-12,Línea 7,311310,22236.428571428572
2019-10-01,Línea 2,809288,33720.333333333336
2019-10-23,Línea 2,844479,35186.625
2017-03-19,Línea 12,171443,8572.15
2017-03-17,Línea 3,755324,37766.2
2017-03-28,Línea 3,759190,36151.90476190476
2018-10-01,Línea 9,340567,28380.583333333332
2018-10-06,Línea 1,658026,32901.3
2018-10-19,Línea A,357029,35702.9
2018-10-30,Línea 6,176063,16005.727272727272
2013-08-21,Línea A,300837,30083.7
2013-08-12,Línea A,279985,27998.5
2016-08-17,Línea 1,818489,40924.45
2016-08-05,Línea 3,739586,35218.380952380954
2016-08-03,Línea B,467104,22243.04761904762
2016-08-13,Línea A,238056,23805.6
2016-05-10,Línea A,266650,26665.0
2017-12-29,Línea 9,280089,25462.636363636364
2017-12-11,Línea A,296048,29604.8
2017-12-28,Línea 12,280003,15555.722222222223
2017-08-22,Línea 1,766177,38308.85
2017-08-16,Línea 9,362818,30234.833333333332
2017-08-23,Línea 7,357836,25559.714285714286
2016-10-27,Línea 7,367240,24482.666666666668
2019-08-26,Línea 1,606333,33685.166666666664
2013-10-30,Línea 1,828053,41402.65
2013-10-28,Línea 12,322313,16115.65
2013-01-29,Línea 5,264392,20337.846153846152
2016-12-07,Línea 6,162655,14786.818181818182
2018-08-30,Línea 12,421917,21095.85
2018-08-12,Línea 8,193920,10773.333333333334
2018-08-20,Línea 9,334710,27892.5
2013-07-28,Línea 9,165424,13785.333333333334
2019-10-25,Línea 2,845644,36767.13043478261
2019-10-03,Línea 2,411467,17144.458333333332
2019-10-15,Línea 5,232163,17858.69230769231
2019-10-17,Línea A,265887,26588.7
2019-10-27,Línea 4,66943,6694.3
2018-10-24,Línea 12,418100,22005.263157894737
2018-10-28,Línea 5,154111,11854.692307692309
2018-10-11,Línea 1,701619,36927.31578947369
2013-08-26,Línea B,501502,23881.04761904762
2013-08-27,Línea 4,92322,9232.2
2013-08-24,Línea 4,79775,8863.888888888889
2016-08-18,Línea 7,360588,25756.285714285714
2013-05-19,Línea B,308847,14707.0
2016-05-20,Línea 2,856537,37240.739130434784
2016-05-19,Línea 9,386341,32195.083333333332
2016-05-31,Línea 7,345003,24643.071428571428
2016-10-22,Línea 5,218248,18187.333333333332
2016-10-26,Línea B,491862,23422.0
2019-08-16,Línea 2,917902,39908.782608695656
2019-08-19,Línea 4,82243,8224.3
2019-08-08,Línea 4,88464,8846.4
2019-08-05,Línea B,482874,22994.0
2019-08-20,Línea A,260312,26031.2
2013-10-11,Línea 2,925064,40220.17391304348
2013-01-31,Línea 8,417865,21992.894736842107
2018-08-14,Línea 7,335897,22393.133333333335
2013-07-26,Línea 3,730283,34775.380952380954
2013-07-10,Línea 12,263733,13880.684210526315
2019-10-27,Línea 9,211823,17651.916666666668
2019-10-26,Línea 1,696594,34829.7
2019-10-28,Línea 6,152318,13847.09090909091
2019-10-12,Línea A,258377,25837.7
2019-10-04,Línea 2,823305,34304.375
2017-03-10,Línea 8,442996,23315.57894736842
2017-03-15,Línea 6,167743,15249.363636363636
2019-05-01,Línea 9,232470,19372.5
2019-05-27,Línea 8,377520,19869.473684210527
2019-05-20,Línea 1,680831,35833.21052631579
2013-08-23,Línea 7,349441,24960.071428571428
2016-08-08,Línea 5,262711,20208.53846153846
2016-08-27,Línea 5,214165,16474.23076923077
2016-08-16,Línea B,461821,21991.47619047619
2013-05-30,Línea 6,163317,14847.0
2013-05-17,Línea 12,285740,14287.0
2016-05-13,Línea 9,379385,31615.416666666668
2016-05-11,Línea 3,690040,32859.04761904762
2017-12-16,Línea 6,117826,10711.454545454546
2017-12-22,Línea 7,337758,24125.571428571428
2017-08-20,Línea 2,460892,20038.782608695652
2019-08-04,Línea 6,162407,14764.272727272728
2019-05-24,Línea 9,321095,26757.916666666668
2016-12-31,Línea 4,61737,6173.7
2016-12-10,Línea 6,128691,11699.181818181818
2018-08-23,Línea 2,851737,34069.48
2018-08-18,Línea 7,230028,16430.571428571428
2018-08-13,Línea 6,153936,13994.181818181818
2013-07-14,Línea 3,355460,16926.666666666668
2013-07-09,Línea 12,290957,14547.85
2013-07-20,Línea 2,740560,30856.666666666668
2019-10-17,Línea 9,302273,25189.416666666668
2017-03-24,Línea 6,171205,15564.09090909091
2019-05-03,Línea 12,434438,21721.9
2019-05-15,Línea 12,378122,21006.777777777777
2018-10-15,Línea 3,741827,35325.09523809524
2013-08-19,Línea 1,821255,41062.75
2016-08-16,Línea 1,738321,38859.0
2016-08-25,Línea 12,355705,17785.25
2016-08-26,Línea 9,376369,31364.083333333332
2016-08-06,Línea 5,199251,18113.727272727272
2013-05-22,Línea 7,313038,24079.846153846152
2016-05-07,Línea 2,784674,32694.75
2017-12-23,Línea 6,112327,10211.545454545454
2017-12-15,Línea 4,144325,13120.454545454546
2017-08-11,Línea 7,320542,24657.076923076922
2016-10-07,Línea 8,404720,21301.052631578947
2016-10-09,Línea 7,123836,8845.42857142857
2016-10-18,Línea 9,377070,31422.5
2019-08-11,Línea 3,786997,37476.04761904762
2019-08-28,Línea 12,437104,21855.2
2019-08-08,Línea 2,840658,35027.416666666664
2019-08-13,Línea A,256222,25622.2
2019-08-19,Línea 6,156687,14244.272727272728
2013-10-30,Línea 7,347890,24849.285714285714
2013-10-21,Línea 1,828812,41440.6
2013-01-05,Línea A,206582,20658.2
2013-01-03,Línea 7,256973,18355.214285714286
2019-05-08,Línea 8,379623,19980.157894736843
2016-12-14,Línea 5,256620,19740.0
2016-12-14,Línea 4,102133,10213.3
