linea,estacion,afluencia_total,ranking_global
LINEA 5,Hangares,24112943,206
LÁÑNEA 1,Insurgentes,22680856,207
LINEA 5,Valle Gáémez,21204633,208
LÁÑNEA 3,Zapata,20902829,209
LINEA 4,Consulado,20790359,210
LÁÑNEA 2,Tacuba,20578935,211
LÁÑNEA B,Máózquiz,20129734,212
LÁÑNEA 7,Barranca Del Muerto,20079118,213
LÁÑNEA 3,Miguel Ángel De Quevedo,19878286,214
LINEA 8,Chabacano,19653983,215
LÁÑNEA 3,Copilco,18885919,216
LÁÑNEA 3,La Raza,18818498,217
LÁÑNEA 2,Normal,18629876,218
LÁÑNEA 3,Deportivo 18 De Marzo,18390618,219
LÁÑNEA 8,San Juan De Letráén,18240377,220
LÁÑNEA 2,Hidalgo,17964973,221
LÁÑNEA 5,Politáócnico,17817196,222
LÁÑNEA 7,El Rosario,17757508,223
LÁÑNEA 7,Auditorio,17663138,224
LÁÑNEA 1,Merced,17657415,225
LINEA 6,Instituto Del Petráéleo,17163413,226
LÁÑNEA 8,Uam-i,17123099,227
LÁÑNEA 6,Martáñn Carrera,16659480,228
LÁÑNEA 7,Mixcoac,16600585,229
LÁÑNEA 8,Coyuya,16540630,230
LÁÑNEA 7,Polanco,16385590,231
LÁÑNEA 1,Tacubaya,16327227,232
LÁÑNEA 2,Pino Suáérez,16133709,233
LÁÑNEA A,Tepalcates,15992026,234
LINEA 1,Gáémez Farias,15572327,235
LÁÑNEA B,Impulsora,15491776,236
LÁÑNEA B,Ecatepec,15410376,237
LÁÑNEA B,Tepito,15309626,238
LÁÑNEA 2,Revoluciáén,14993374,239
LÁÑNEA 1,Balderas,14942963,240
LÁÑNEA 2,Chabacano,14866327,241
LINEA 2,Villa De Cortés,14861524,242
LÁÑNEA 2,Bellas Artes,14805551,243
LINEA B,Olímpica,14742340,244
LÁÑNEA 1,Zaragoza,14727505,245
LÁÑNEA 3,Etiopáña/plaza De La Transparencia,14544150,246
LÁÑNEA 3,Coyoacáén,14431705,247
LÁÑNEA 8,Escuadráén 201,14326668,248
LÁÑNEA 9,Mixiuhca,14254645,249
LÁÑNEA B,Lagunilla,14179433,250
LÁÑNEA 1,Sevilla,14105403,251
LÁÑNEA 1,Pantitláén,13732563,252
LÁÑNEA A,Los Reyes,13694980,253
LINEA 4,Santa Anita,13646638,254
LÁÑNEA 2,Allende,13555681,255
LÁÑNEA 5,Autobuses Del Norte,13522450,256
LÁÑNEA 7,San Joaquáñn,13400378,257
LÁÑNEA 8,Bellas Artes,13330454,258
LÁÑNEA B,Nezahualcáéyotl,13227889,259
LÁÑNEA 4,Martáñn Carrera,12834087,260
LÁÑNEA 8,Salto Del Agua,12731740,261
LÁÑNEA 1,Pino Suáérez,12650392,262
LÁÑNEA 5,Terminal Aáórea,12619371,263
LÁÑNEA B,Ráño De Los Remedios,12488778,264
LÁÑNEA B,Plaza Aragáén,12418882,265
LÁÑNEA 6,Ferreráña/arena Ciudad De Máóxico,12346133,266
LÁÑNEA 8,Atlalilco,12342584,267
LÁÑNEA B,San Láézaro,12228039,268
LÁÑNEA 8,Iztacalco,12006877,269
LÁÑNEA 1,Gáémez Faráñas,11897851,270
LÁÑNEA A,Guelatao,11843875,271
LÁÑNEA 3,Viveros/derechos Humanos,11742955,272
LÁÑNEA 2,San Cosme,11739578,273
LÁÑNEA 2,Portales,11715557,274
LÁÑNEA 8,Garibaldi/lagunilla,11668722,275
LÁÑNEA 3,Niáos Háóroes,11620940,276
LÁÑNEA A,Acatitla,11488507,277
LÁÑNEA 2,San Antonio Abad,11481687,278
LÁÑNEA 9,Patriotismo,11359565,279
LÁÑNEA B,Oláñmpica,11317753,280
LÁÑNEA 2,General Anaya,11046642,281
LÁÑNEA 3,Balderas,10947750,282
LÁÑNEA 2,Ermita,10892486,283
LÁÑNEA 3,Tlatelolco,10872767,284
LÁÑNEA 3,Hospital General,10867688,285
LÁÑNEA 2,Xola,10777523,286
LÁÑNEA 3,Centro Máódico,10697522,287
LINEA 6,Deportivo 18 De Marzo,10528466,288
LÁÑNEA 1,Candelaria,10252796,289
LÁÑNEA 2,Nativitas,10182465,290
LÁÑNEA 2,Cuitláéhuac,10105987,291
LÁÑNEA 6,El Rosario,9682065,292
LÁÑNEA B,Deportivo Oceanáña,9655349,293
LÁÑNEA 9,Centro Máódico,9597751,294
LÁÑNEA A,Peááén Viejo,9515507,295
LÁÑNEA 1,Cuauhtáómoc,9462977,296
LINEA 12,Tlaltenco,9452586,297
LÁÑNEA 3,Juáérez,9333412,298
LÁÑNEA 2,Viaducto,9291305,299
LÁÑNEA A,Canal De San Juan,9218234,300
LÁÑNEA B,Villa De Aragáén,9118177,301
LÁÑNEA 6,Lindavista,9107566,302
LÁÑNEA 3,Potrero,9060653,303
LÁÑNEA 8,Obrera,9052697,304
LÁÑNEA 2,Villa De Cortáós,8988509,305
LÁÑNEA 3,Divisiáén Del Norte,8887802,306
LÁÑNEA 7,Refineráña,8677447,307
LÁÑNEA 1,San Láézaro,8647240,308
LÁÑNEA 8,Apatlaco,8616970,309
LÁÑNEA 9,Láézaro Cáérdenas,8456516,310
LÁÑNEA 3,Eugenia,8443116,311
LÁÑNEA 7,Camarones,8422007,312
LÁÑNEA 3,Hidalgo,8371384,313
LÁÑNEA 8,Doctores,8320127,314
LÁÑNEA B,Romero Rubio,8105750,315
LÁÑNEA 2,Colegio Militar,8012645,316
LÁÑNEA A,Agráñcola Oriental,7869219,317
LÁÑNEA 1,Isabel La Catáélica,7805766,318
LÁÑNEA 9,Jamaica,7742767,319
LÁÑNEA 8,Cerro De La Estrella,7649902,320
LÁÑNEA 1,Moctezuma,7586218,321
LÁÑNEA 1,Boulevard Puerto Aáóreo,7547679,322
LÁÑNEA 8,Iztapalapa,7405242,323
LÁÑNEA 6,La Villa/basáñlica,7329047,324
LÁÑNEA 2,Panteones,7279352,325
LÁÑNEA 9,Chabacano,7143002,326
LÁÑNEA 4,Candelaria,7008903,327
LÁÑNEA 1,Salto Del Agua,6911823,328
LÁÑNEA 7,San Pedro De Los Pinos,6861804,329
LÁÑNEA 5,La Raza,6813217,330
LÁÑNEA 7,San Antonio,6735300,331
LÁÑNEA 8,Aculco,6669579,332
LÁÑNEA 7,Aquiles Serdáén,6658297,333
LÁÑNEA B,Oceanáña,6328585,334
LÁÑNEA 3,Guerrero,6221137,335
LÁÑNEA 4,Fray Servando,6070523,336
LÁÑNEA 5,Oceanáña,5798602,337
LÁÑNEA 7,Tacuba,5655477,338
LÁÑNEA 6,Vallejo,5476548,339
LÁÑNEA 9,Veláédromo,5409778,340
LÁÑNEA 5,Misterios,5083524,341
LÁÑNEA 4,Canal Del Norte,5082694,342
LÁÑNEA 2,Popotla,5062905,343
LÁÑNEA 1,Juanacatláén,4934338,344
LÁÑNEA 4,Morelos,4829316,345
LÁÑNEA 9,Ciudad Deportiva,4737191,346
LÁÑNEA 4,Jamaica,4689170,347
LÁÑNEA 6,Uam-azcapotzalco,4682333,348
LÁÑNEA 5,Aragáén,4674878,349
LÁÑNEA 8,La Viga,4653367,350
LÁÑNEA B,Garibaldi/lagunilla,4490780,351
LÁÑNEA 6,Norte 45,4442730,352
LÁÑNEA 12,Atlalilco,4395331,353
LÁÑNEA 12,Insurgentes Sur,4194191,354
LÁÑNEA B,Ricardo Flores Magáén,4151667,355
LÁÑNEA B,Guerrero,4069748,356
LÁÑNEA 5,Eduardo Molina,4025349,357
LÁÑNEA 7,Constituyentes,3924779,358
LÁÑNEA 1,Balbuena,3852058,359
LÁÑNEA 4,Bondojito,3694725,360
LÁÑNEA 5,Instituto Del Petráéleo,3491212,361
LÁÑNEA 6,Tezozáémoc,3481928,362
LÁÑNEA 5,Consulado,3448009,363
LÁÑNEA 7,Tacubaya,3444966,364
LÁÑNEA B,Morelos,3439164,365
LÁÑNEA 8,Santa Anita,3276583,366
LÁÑNEA B,Bosque De Aragáén,3264490,367
LÁÑNEA 12,Tláéhuac,3245863,368
LÁÑNEA 5,Hangares,3227140,369
LÁÑNEA 5,Valle Gáémez,2816000,370
LÁÑNEA 8,Chabacano,2776798,371
LÁÑNEA 4,Talismáén,2571133,372
