año,mes,linea,afluencia_total,afluencia_promedio_diaria
2016,2,Línea A,8091564,28693.489361702126
2020,9,Línea 7,3881244,9374.985507246376
2015,7,Línea 3,18498978,28995.263322884013
2021,4,Línea 12,5516099,9494.14629948365
2025,6,Línea B,9731411,15823.432520325203
2024,5,Línea 4,2106167,6951.046204620462
2024,8,Línea 3,14898041,23424.5927672956
2020,9,Línea 9,4422100,12421.629213483146
2024,8,Línea A,5791759,18804.41233766234
2024,11,Línea 1,6699696,17401.807792207794
2024,3,Línea A,5517782,18454.120401337794
2024,3,Línea 11,10963,10963.0
2020,2,Línea 8,10539188,19409.18600368324
2015,7,Línea 9,10067250,27581.50684931507
2025,9,Línea 5,4706011,12255.236979166666
2024,5,Línea 2,18109027,24806.886301369865
2025,6,Línea 8,9126310,16384.75763016158
2024,8,Línea 4,2157152,6981.074433656958
2015,11,Línea 4,2571851,8718.138983050847
2020,11,Línea 6,1875683,5753.628834355828
2015,11,Línea 5,7071649,18367.919480519482
2016,2,Línea 1,20176911,35336.09632224168
2015,8,Línea 7,8244565,19398.976470588233
2024,5,Línea B,10801851,17118.622820919176
2021,4,Línea B,6282775,10215.894308943089
2024,11,Línea 3,14885464,23931.614147909968
2015,8,Línea 4,2625468,8496.660194174758
2024,5,Línea 12,8996438,14748.259016393442
2025,9,Línea 11,45679,15226.333333333334
2020,11,Línea 3,9585711,15361.716346153846
2025,6,Línea A,5920401,19934.010101010103
2015,8,Línea 11,179092,59697.333333333336
2024,3,Línea 12,8048029,13193.490163934426
2025,9,Línea 9,7613809,21691.763532763533
2016,2,Línea 3,18812274,31617.267226890755
2024,3,Línea 9,5788825,21282.444852941175
2015,7,Línea B,13300636,20653.16149068323
2020,11,Línea 11,29678,29678.0
2025,9,Línea A,6322878,21653.69178082192
2024,5,Línea 9,6395002,23424.915750915752
2024,3,Línea 4,2077553,6701.783870967742
2020,11,Línea 9,4551769,13005.054285714286
2015,11,Línea 7,8489429,20456.455421686747
2025,9,Línea B,9882206,16121.05383360522
2024,8,Línea B,10747721,16925.544881889764
2014,7,Línea B,13029844,20455.014128728413
2015,1,Línea 8,11664416,20076.447504302927
2015,7,Línea 2,23492306,32269.6510989011
2020,2,Línea 4,2497897,8643.242214532873
2021,4,Línea 3,8093199,12990.6886035313
2015,7,Línea 6,4383593,13046.407738095239
2020,11,Línea B,7019375,11358.211974110032
2024,11,Línea A,6328518,21599.037542662118
2024,5,Línea 5,5118592,12860.78391959799
2025,6,Línea 11,27342,13671.0
2020,2,Línea 9,7947353,23443.5191740413
2025,6,Línea 5,4438848,11499.60621761658
2015,11,Línea 11,12182,12182.0
2025,4,Línea A,5764444,19474.472972972973
2015,8,Línea 1,22798836,37559.86161449753
2024,8,Línea 8,10532756,18128.667814113596
2025,4,Línea 3,13687994,22293.14983713355
2024,11,Línea 9,7646289,21538.84225352113
2024,5,Línea 1,4954079,16513.596666666668
2014,7,Línea 9,9686226,26465.09836065574
2020,11,Línea 1,11513450,19415.598650927488
2025,4,Línea 5,4446368,11489.32299741602
2015,8,Línea 5,7138219,17980.40050377834
2014,7,Línea 7,8158676,18973.66511627907
2015,1,Línea 6,4007851,12071.840361445784
2024,8,Línea 9,6331686,23450.68888888889
2020,2,Línea A,6562287,23188.293286219083
2025,9,Línea 7,7278094,17751.448780487804
2020,2,Línea 1,18145208,31833.698245614036
2015,11,Línea 12,5544968,13233.8138424821
2020,9,Línea 11,2569,2569.0
2014,4,Línea 1,20142091,34489.88184931507
2010,10,Línea 6,4432474,13075.144542772861
2023,10,Línea 5,4451449,11298.093908629442
2023,10,Línea A,5863017,19807.489864864863
2024,9,Línea 5,5129826,13289.704663212435
2015,4,Línea B,12303004,20004.884552845528
2014,11,Línea A,7982974,26878.700336700338
2024,9,Línea 4,2070212,7065.569965870307
2014,11,Línea 8,11287219,20084.019572953737
2010,10,Línea 2,26089499,35690.14911080711
2018,2,Línea 5,6794022,18977.71508379888
2023,10,Línea 7,7551972,17644.794392523363
2015,9,Línea A,8061084,27512.23208191126
2010,12,Línea 11,50986,16995.333333333332
2024,7,Línea 2,17721247,24375.855570839063
2015,9,Línea B,12910022,20923.860615883306
2015,4,Línea 7,7449337,18438.95297029703
2013,2,Línea A,6990342,25512.19708029197
2015,9,Línea 1,21333953,36406.06313993174
2024,9,Línea 3,14888756,23936.906752411574
2017,2,Línea 12,8855900,16189.945155393052
2014,2,Línea 7,7645898,19756.842377260982
2024,7,Línea 6,3083885,9178.229166666666
2010,10,Línea B,14705492,23013.28951486698
2023,12,Línea 5,4955210,12481.637279596976
2015,4,Línea 6,4010598,12611.943396226416
2013,2,Línea 9,9625461,29079.94259818731
2024,9,Línea 1,5630798,16273.982658959538
2015,4,Línea 5,6968650,18006.84754521964
2014,2,Línea 2,22207771,33750.411854103346
2014,9,Línea 3,20099905,32576.831442463532
2023,12,Línea 12,4964174,11707.957547169812
2015,9,Línea 11,2544,2544.0
2010,10,Línea 3,23279875,36205.0933125972
2015,9,Línea 5,7121364,18691.24409448819
2023,12,Línea 1,5327008,17295.48051948052
2024,7,Línea 4,2007568,6625.63696369637
2014,11,Línea 9,9132403,26092.58
2015,9,Línea 7,8126281,19723.983009708736
2024,7,Línea 5,4553490,11527.822784810127
2014,6,Línea 5,6475740,16863.90625
2015,4,Línea 4,2431170,8213.412162162162
2024,9,Línea 9,6770467,20578.927051671733
2019,2,Línea 3,17387720,29773.49315068493
2010,12,Línea 2,24918358,33856.46467391304
2023,12,Línea A,5934393,19267.50974025974
2014,9,Línea 7,8226188,19918.130750605327
2014,2,Línea 12,7587793,13821.116575591985
2014,2,Línea A,6920212,25256.24817518248
2014,6,Línea 3,18580847,30017.523424878837
2014,9,Línea B,13134717,21116.90836012862
2014,9,Línea 2,23846482,33729.1117397454
2014,4,Línea 5,6414660,16970.0
2019,2,Línea 8,10414878,19837.862857142856
2014,6,Línea 2,22782904,32179.24293785311
2015,4,Línea 11,27523,13761.5
2024,9,Línea A,5738623,19652.818493150684
2018,2,Línea 11,11944,11944.0
2014,11,Línea B,12843516,20782.388349514564
2010,12,Línea 7,7072207,16758.784360189573
2014,4,Línea 3,18357611,29561.37037037037
2019,2,Línea 6,3891559,12885.956953642384
2018,2,Línea 9,8938022,27084.91515151515
2017,2,Línea 9,9103954,27671.59270516717
2018,2,Línea 2,21574788,32838.33789954338
2010,10,Línea 5,6860910,17195.263157894737
2014,4,Línea 11,38414,38414.0
2014,11,Línea 2,23220286,33077.33048433049
2017,2,Línea 6,3823177,12494.04248366013
2014,9,Línea 4,2618556,8967.657534246575
2024,7,Línea 1,5316393,17662.435215946844
2018,2,Línea 12,8658174,15945.07182320442
2014,4,Línea 12,3734082,14144.25
2023,10,Línea B,10877574,16996.209375
2024,9,Línea B,10362705,16795.307941653162
2019,2,Línea 2,20188636,30822.34503816794
2023,12,Línea 2,15504066,21267.58024691358
2024,7,Línea 3,13481748,21231.099212598427
2010,12,Línea 3,19783187,30863.00624024961
2015,4,Línea A,7972571,26843.6734006734
2024,7,Línea A,5441812,17725.771986970685
2017,2,Línea 1,18454792,33615.28597449909
2014,9,Línea 1,22520364,38041.15540540541
2013,2,Línea 11,18049,9024.5
2023,10,Línea 1,5729552,20987.36996336996
2024,7,Línea B,10045182,15769.516483516483
2018,2,Línea 1,18556963,33496.32310469314
2010,12,Línea 6,3715538,11058.14880952381
2017,2,Línea 2,21596273,32524.50753012048
2019,2,Línea A,6093849,22159.45090909091
2019,2,Línea 5,5845854,16560.492917847027
2014,6,Línea 11,25966,25966.0
2024,9,Línea 2,17688663,25269.518571428573
2014,9,Línea A,8172065,28673.912280701756
2017,2,Línea B,11772154,20437.76736111111
2014,4,Línea B,12365307,19976.263327948305
2017,2,Línea 5,6584179,18391.561452513968
2013,2,Línea 6,3693211,12269.803986710964
2015,4,Línea 9,9423424,26695.252124645893
2018,2,Línea B,11592923,20091.720970537262
2014,2,Línea 8,9369597,18158.133720930233
2014,9,Línea 6,4096030,12800.09375
2015,4,Línea 3,19022056,30484.0641025641
2010,10,Línea 4,2465067,8108.773026315789
2014,9,Línea 8,12429711,22315.45960502693
2014,9,Línea 9,10264287,29159.90625
2014,9,Línea 5,7005569,18339.185863874347
2019,2,Línea 7,8405816,21776.725388601037
2024,9,Línea 11,40540,20270.0
2023,12,Línea 3,12100451,19085.884858044163
2019,2,Línea 12,10310337,18952.82536764706
2017,2,Línea A,8160119,30000.4375
2024,7,Línea 9,6055486,22262.816176470587
2014,6,Línea 9,8895836,25058.69295774648
2010,10,Línea A,7010652,23137.465346534653
2014,4,Línea A,6911986,23590.39590443686
2014,4,Línea 7,7731022,18407.19523809524
2024,9,Línea 12,9269893,15738.358234295416
2013,2,Línea 12,6146675,11216.560218978102
2015,4,Línea 1,20872812,35377.64745762712
2013,2,Línea 7,7294461,19095.447643979056
2015,4,Línea 8,10773383,19169.720640569394
2014,11,Línea 7,8060260,19563.73786407767
2014,2,Línea 9,9223727,27866.244712990938
2014,11,Línea 4,2471600,8464.383561643835
2024,9,Línea 7,7100329,17192.0799031477
2023,12,Línea 9,7132156,21678.285714285714
2014,11,Línea 1,21315363,36127.73389830509
2023,12,Línea 4,2032774,6557.335483870967
2019,2,Línea 4,2206837,8083.652014652014
2014,2,Línea B,12260273,21248.30675909879
2023,10,Línea 9,8128746,22209.688524590165
2018,2,Línea 7,8031755,21025.53664921466
2024,7,Línea 11,53419,26709.5
2015,9,Línea 8,11282968,20148.157142857144
2023,12,Línea 8,10127260,17612.626086956523
2014,6,Línea 7,7744129,18660.551807228916
2015,9,Línea 9,9522811,27130.51566951567
2015,9,Línea 2,23021963,32379.694796061885
2023,12,Línea 6,3143474,9383.504477611941
2014,4,Línea 6,3705726,11367.257668711656
2014,6,Línea 12,3864218,14527.135338345865
2018,2,Línea 6,4143898,13410.673139158576
2010,12,Línea 1,22161228,36569.683168316835
2024,7,Línea 8,10039152,17368.77508650519
2019,2,Línea 11,28552,28552.0
2014,11,Línea 3,19258346,31061.848387096776
2013,2,Línea 3,18608928,32877.96466431095
2014,4,Línea 8,9996900,17851.60714285714
2015,9,Línea 12,3916368,14723.187969924813
2010,12,Línea 12,5000,5000.0
2023,12,Línea 11,30187,15093.5
2024,7,Línea 12,8934533,14551.35667752443
2024,9,Línea 8,10212295,18367.437050359713
2023,10,Línea 6,3624716,10852.443113772455
2014,2,Línea 1,19036825,34865.979853479854
2010,10,Línea 7,7885819,18381.86247086247
2015,9,Línea 6,4392342,13640.813664596273
2013,2,Línea 8,10301929,19773.376199616123
2014,2,Línea 3,18823093,32678.980902777777
2014,6,Línea B,12739663,20614.34142394822
2013,2,Línea 5,6348275,17634.097222222223
2014,2,Línea 5,6526866,18180.6852367688
2015,9,Línea 4,2567215,8557.383333333333
2015,4,Línea 2,21942393,31256.970085470086
2014,2,Línea 6,3808609,12405.892508143323
2017,2,Línea 8,10425971,19973.124521072798
2017,2,Línea 7,8349926,21520.427835051545
2013,2,Línea B,12793348,22133.820069204154
2023,10,Línea 3,14456132,22447.4099378882
2015,9,Línea 3,19405405,31400.331715210355
2014,6,Línea 6,3724737,11603.542056074766
2015,4,Línea 12,3657990,13700.337078651686
2014,11,Línea 12,4390290,16693.11787072243
2023,10,Línea 2,16765193,22966.017808219178
2014,6,Línea 1,20987287,35451.49831081081
2014,11,Línea 6,3890466,11861.176829268292
2013,2,Línea 2,23046686,34761.21568627451
2013,2,Línea 4,2189797,8021.2344322344325
2023,12,Línea 7,6481542,14934.42857142857
2010,10,Línea 9,9328603,25349.464673913044
2014,4,Línea 4,2280486,7783.22866894198
2019,2,Línea 1,18126342,32778.19529837251
2018,2,Línea 3,18257009,31696.196180555555
2024,7,Línea 7,7012047,16421.655737704918
2014,11,Línea 11,23033,23033.0
2019,2,Línea 9,7727299,23135.625748502993
2014,4,Línea 9,8834243,25240.694285714286
2010,12,Línea A,7225184,23767.052631578947
2013,2,Línea 1,19491370,35633.217550274225
2014,4,Línea 2,22878991,32043.404761904763
2014,11,Línea 5,6686282,17549.29658792651
2010,12,Línea 5,7114091,17740.875311720698
2014,6,Línea 4,2381038,8071.315254237288
2018,2,Línea 8,10168666,19630.629343629345
2010,10,Línea 8,12960990,22778.541300527242
2023,12,Línea B,11554694,17914.25426356589
2023,10,Línea 12,5510204,13213.918465227818
2010,12,Línea 8,12427957,21576.31423611111
2014,6,Línea A,7817995,26501.677966101695
2014,9,Línea 12,3927842,14656.126865671642
2018,2,Línea 4,2345032,8465.819494584837
2010,12,Línea B,14742798,22857.051162790696
2014,6,Línea 8,10642884,19073.2688172043
2023,10,Línea 4,2395261,7879.148026315789
2010,12,Línea 9,8895670,24710.194444444445
2024,9,Línea 6,3320144,10153.345565749236
2023,10,Línea 8,10329238,17901.625649913345
2017,2,Línea 3,18201625,31932.675438596492
2018,2,Línea A,7942896,28571.56834532374
2010,12,Línea 4,2605307,8514.075163398693
2017,2,Línea 4,2399989,8695.61231884058
2014,2,Línea 4,2332654,8360.767025089606
2019,2,Línea B,11606649,20011.46379310345
2010,10,Línea 1,21847586,35992.728171334435
2011,5,Línea 3,20211162,31828.60157480315
2011,12,Línea 11,93525,93525.0
2012,10,Línea B,14684836,22873.576323987538
2012,3,Línea 7,7936077,18985.83014354067
2010,3,Línea 4,2286656,7472.732026143791
2024,1,Línea 7,6349083,14974.252358490567
2011,10,Línea 5,6502239,16378.435768261965
2010,8,Línea 3,22272122,34637.82581648522
2012,10,Línea 4,2733815,8992.8125
2011,5,Línea A,8212464,27283.933554817275
2011,8,Línea 1,22547456,37084.63157894737
2011,1,Línea 5,5861468,14839.159493670886
2024,4,Línea 5,5070186,13135.19689119171
2010,5,Línea 7,7020406,16596.70449172577
2011,3,Línea 9,9047982,24653.901907356947
2011,10,Línea A,8375820,28201.41414141414
2011,10,Línea B,14501736,22518.22360248447
2010,8,Línea 8,12681962,22132.568935427575
2012,1,Línea 7,7705294,18172.86320754717
2012,3,Línea B,14114320,22053.625
2012,5,Línea A,8638795,28605.281456953642
2015,6,Línea 8,11515595,20600.3488372093
2024,4,Línea 12,8700666,14672.286677908938
2011,1,Línea 11,12967,12967.0
2011,5,Línea 6,4466607,13333.155223880596
2011,12,Línea A,8046537,26556.227722772277
2011,12,Línea 4,2843397,9261.87947882736
2012,3,Línea 5,6358606,15896.515
2024,1,Línea B,10588022,16466.597200622084
2011,10,Línea 11,119283,59641.5
2015,6,Línea 5,6927287,17992.953246753248
2010,3,Línea B,13340164,21107.854430379746
2010,3,Línea 11,59945,59945.0
2011,5,Línea 9,9034397,24888.146005509643
2010,5,Línea 3,20974253,33082.417981072555
2010,3,Línea 9,9751648,26643.84699453552
2012,5,Línea 1,22300889,36860.973553719006
2023,8,Línea B,10888953,16987.446177847112
2011,10,Línea 7,8806871,20528.83682983683
2010,5,Línea 8,11419604,19791.341421143847
2012,10,Línea 8,12919856,22352.692041522492
2023,8,Línea 9,8174641,22213.698369565216
2011,12,Línea 7,8220110,19161.09557109557
2012,1,Línea 9,9187152,25239.428571428572
2023,8,Línea 3,15154413,23641.82995319813
2010,8,Línea 11,58868,19622.666666666668
2012,5,Línea 11,11205,5602.5
2010,8,Línea 4,2388232,7908.05298013245
2011,12,Línea 12,5000,5000.0
2011,1,Línea 1,20944782,34562.346534653465
2010,5,Línea 2,23928686,32600.389645776566
2011,5,Línea 1,21438636,35087.78396072013
2011,8,Línea B,14037012,22001.58620689655
2024,4,Línea 2,16675343,23586.057991513437
2011,5,Línea B,13440874,21034.231611893585
2010,5,Línea 11,90691,30230.333333333332
2011,12,Línea B,14374117,22600.812893081762
2012,3,Línea 8,12315944,21531.37062937063
2011,10,Línea 4,2809591,9334.189368770763
2024,1,Línea 4,1848259,6079.799342105263
2010,8,Línea 7,7478635,17596.788235294116
2010,5,Línea 6,3612113,10718.436201780416
2012,5,Línea 6,4835945,14307.529585798817
2012,3,Línea A,8575707,28209.5625
2015,6,Línea 7,8515355,20518.927710843374
2024,4,Línea 3,14348844,23068.881028938908
2012,1,Línea 8,11854698,20509.85813148789
2011,3,Línea 2,26389258,36348.840220385675
2011,3,Línea 7,8505037,19918.11943793911
2024,1,Línea A,5639366,18735.435215946844
2024,1,Línea 6,3060321,9081.07121661721
2011,8,Línea 7,8572738,20314.545023696683
2011,5,Línea 11,32881,16440.5
2010,3,Línea 2,23652257,32179.94149659864
2023,8,Línea 5,5065436,12663.59
2011,8,Línea 2,28039388,38462.809327846364
2023,8,Línea 8,10482882,18231.09913043478
2012,10,Línea 1,22958299,37760.36019736842
2024,1,Línea 1,5130249,16602.747572815533
2024,4,Línea A,5832369,19837.98979591837
2010,3,Línea 7,7018422,16513.93411764706
2010,5,Línea 5,6624985,16943.695652173912
2012,1,Línea A,8162813,26939.97689768977
2010,8,Línea 5,7139451,17983.50377833753
2010,3,Línea 1,21355586,35298.48925619835
2015,6,Línea 12,3969476,14979.154716981133
2012,5,Línea 12,5000,5000.0
2015,6,Línea 2,23355234,33127.9914893617
2012,1,Línea B,13370067,20890.7296875
2023,8,Línea 6,3125589,9274.744807121662
2011,12,Línea 9,8608320,23779.88950276243
2010,8,Línea 2,25302259,34851.596418732785
2010,5,Línea B,13611575,21201.830218068535
2024,4,Línea 8,10101899,18168.88309352518
2012,5,Línea 4,2428810,8096.033333333334
2011,12,Línea 3,19305989,30118.547581903276
2024,1,Línea 2,15073930,20620.97127222982
2010,8,Línea 9,9858883,27159.45730027548
2012,5,Línea 5,6101508,15604.879795396419
2024,1,Línea 5,4745965,12138.017902813299
2010,8,Línea 1,21823966,36192.315091210614
2011,1,Línea 8,11778643,20484.59652173913
2011,8,Línea 3,21278055,33246.9609375
2011,3,Línea 1,21283477,35121.249174917495
2011,8,Línea A,8733043,28727.115131578947
2010,3,Línea 6,3728486,11096.684523809523
2012,5,Línea 2,26041490,35919.29655172414
2011,10,Línea 9,9477822,25895.688524590165
2012,3,Línea 12,12345,12345.0
2012,5,Línea 7,8303455,19400.595794392524
2012,10,Línea 9,10312773,28100.198910081745
2011,10,Línea 3,21371019,33340.1232449298
2010,8,Línea 12,12345,12345.0
2023,8,Línea A,6504396,21537.735099337748
2012,3,Línea 9,9919734,27177.353424657533
2024,4,Línea 1,4898770,16606.0
2023,8,Línea 11,6708,6708.0
2012,10,Línea 5,6574992,16687.79695431472
2024,1,Línea 3,13042789,20315.870716510904
2024,4,Línea 6,3206748,9989.869158878504
2011,8,Línea 5,6457202,16347.346835443039
2024,1,Línea 9,5914119,21904.144444444446
2011,1,Línea A,7818736,25635.2
2011,5,Línea 4,2556494,8354.555555555555
2024,4,Línea 11,26026,8675.333333333334
2011,3,Línea 11,11797,5898.5
2012,1,Línea 5,5898914,14784.245614035088
2012,3,Línea 6,4924660,14484.29411764706
2024,4,Línea B,10813673,17357.420545746387
2011,3,Línea 3,20816109,32074.12788906009
2011,8,Línea 4,2676390,8832.970297029702
2010,3,Línea 5,7130078,18142.692111959288
2012,10,Línea 3,22156295,34619.2109375
2012,10,Línea 7,8614342,20269.04
2015,6,Línea 6,4289086,13278.904024767802
2024,4,Línea 4,1947403,6556.912457912458
2011,12,Línea 5,6323976,15809.94
2011,1,Línea 2,25338044,34567.59072305593
2012,10,Línea 11,70285,23428.333333333332
2010,5,Línea 4,2348365,7624.561688311688
2011,10,Línea 8,12788907,22164.483535528598
2015,6,Línea B,12941281,20974.523500810374
2010,3,Línea A,7337201,24135.529605263157
2011,3,Línea 12,5000,5000.0
2024,1,Línea 8,10189314,17537.545611015492
2011,1,Línea 4,2411526,7932.651315789473
2023,8,Línea 12,5008929,11730.51288056206
2012,10,Línea A,8621549,28360.35855263158
2011,12,Línea 2,27498494,37772.656593406595
2010,5,Línea 1,21156304,34853.87808896211
2015,6,Línea 3,19071347,30809.93053311793
2011,8,Línea 12,5000,5000.0
2011,5,Línea 7,8444104,19775.41920374707
2012,1,Línea 4,2358252,7731.973770491803
2011,1,Línea 9,8432551,22976.978201634876
2011,8,Línea 11,49778,24889.0
2011,3,Línea 4,2677662,8693.707792207791
2011,10,Línea 2,27612694,37517.247282608696
2010,8,Línea B,14045956,21810.490683229815
2010,8,Línea 6,4049833,11981.754437869822
2011,5,Línea 8,12243390,21145.751295336788
2010,3,Línea 3,21411592,33719.04251968504
2023,8,Línea 1,5406274,21887.74898785425
2011,3,Línea 5,6207657,15876.360613810743
2015,6,Línea 1,21438462,36398.067911714774
2012,1,Línea 6,4709554,14058.370149253731
2012,5,Línea 3,20707135,32609.661417322834
2012,10,Línea 2,27401192,37484.53077975376
2012,3,Línea 1,22051020,36208.57142857143
2012,1,Línea 3,19642468,30548.16174183515
2011,12,Línea 8,12343692,21655.6
2015,6,Línea 4,2459630,8337.728813559323
2012,1,Línea 1,21381411,35166.79440789474
2012,3,Línea 3,20914118,32678.309375
2011,8,Línea 8,12598926,21911.17565217391
2012,5,Línea 8,12499309,21513.440619621342
2023,8,Línea 2,17511939,23761.111261872455
2010,5,Línea A,6889683,22738.227722772277
2011,12,Línea 6,4429009,13181.574404761905
2011,3,Línea 6,4629280,13818.746268656716
2011,1,Línea 7,7948034,18923.890476190478
2012,5,Línea B,13762406,21673.08031496063
2023,8,Línea 7,6664690,15499.279069767443
2015,6,Línea 9,9921682,28428.888252148998
2011,10,Línea 1,22197609,36934.45757071547
2024,4,Línea 9,6307287,24073.614503816792
2011,12,Línea 1,22473058,36780.78232405892
2024,1,Línea 12,5240488,10963.364016736401
2011,3,Línea 8,12222708,21368.37062937063
2012,10,Línea 6,5348852,16111.0
2012,1,Línea 2,25340553,34760.7037037037
2011,8,Línea 6,4870201,14408.878698224851
2024,1,Línea 11,34821,17410.5
2011,1,Línea 3,19402073,30410.772727272728
2010,5,Línea 9,9694532,26706.699724517905
2011,1,Línea B,12907521,20326.80472440945
2024,4,Línea 7,7227335,17670.745721271393
2011,10,Línea 6,5013234,14964.8776119403
2011,3,Línea B,13530209,21307.415748031497
2012,3,Línea 2,26477789,36221.32558139535
2010,3,Línea 8,11286251,19526.38581314879
2011,8,Línea 9,9116135,24907.47267759563
2023,8,Línea 4,2233729,7347.792763157895
2012,5,Línea 9,9701597,26799.991712707182
2010,8,Línea A,7146672,23431.711475409837
2011,5,Línea 2,26427759,36103.49590163935
2011,5,Línea 5,6242737,15645.95739348371
2015,6,Línea 11,14819,14819.0
2011,3,Línea A,8579129,28220.81907894737
2011,1,Línea 6,4067768,12070.52818991098
2015,6,Línea A,6684121,31829.14761904762
2012,3,Línea 4,2438584,8074.781456953642
2021,5,Línea B,6574795,10337.727987421384
2020,4,Línea 3,5454524,8797.61935483871
2022,3,Línea 2,14076418,19230.079234972676
2022,5,Línea B,10107166,15792.446875
2012,8,Línea 2,26549589,36569.681818181816
2021,5,Línea 9,4555079,12377.932065217392
2022,1,Línea 4,1383626,4551.401315789473
2024,6,Línea 5,4590971,12145.425925925925
2020,4,Línea 11,7118,7118.0
2020,4,Línea 1,5945946,10216.40206185567
2021,7,Línea 11,3123,3123.0
2010,7,Línea 4,2140634,6995.535947712418
2023,11,Línea 6,3338922,10305.314814814816
2012,8,Línea 1,23032483,38196.489220563846
2010,7,Línea 6,3330420,10031.385542168675
2021,5,Línea 2,9200070,12724.854771784232
2021,5,Línea 6,1905449,5739.30421686747
2021,10,Línea 8,8361314,14465.941176470587
2021,10,Línea 1,12483603,20771.386023294508
2021,7,Línea 1,11636780,19139.440789473683
2010,1,Línea 7,6151597,14339.386946386947
2022,5,Línea 2,14515442,19993.7217630854
2021,5,Línea 12,460978,7682.966666666666
2021,10,Línea B,8258770,12924.52269170579
2022,5,Línea 7,5785887,13645.959905660377
2010,7,Línea B,12714355,19804.291277258566
2010,1,Línea A,6063468,19750.710097719868
2024,6,Línea 9,6000909,22644.93962264151
2021,10,Línea 4,1689053,5537.87868852459
2021,12,Línea 6,2558355,7659.745508982036
2021,12,Línea 3,11861074,18446.46034214619
2023,7,Línea 7,6005462,14230.952606635072
2023,7,Línea 4,2155782,7045.0392156862745
2021,7,Línea 5,3736446,9435.469696969696
2021,12,Línea 4,1849291,6043.434640522876
2010,7,Línea 8,11579364,20173.108013937283
2012,8,Línea A,5821607,30802.15343915344
2010,7,Línea 3,19669792,31271.529411764706
2021,5,Línea 1,10153486,16590.66339869281
2021,12,Línea B,9724352,15194.3
2023,11,Línea B,9938880,16266.57937806874
2012,7,Línea 11,5906,5906.0
2022,1,Línea 6,2171367,6540.262048192771
2021,7,Línea 9,5458877,14914.964480874318
2023,7,Línea 12,3605311,10419.973988439306
2012,7,Línea A,5298731,29113.906593406595
2022,5,Línea 4,1880966,6249.056478405316
2011,7,Línea A,7650314,25416.325581395347
2012,7,Línea 6,4573416,13692.862275449103
2021,7,Línea 2,10993040,14976.893732970027
2022,3,Línea 8,9153374,15781.679310344827
2026,2,Línea 6,2976231,9758.134426229508
2012,7,Línea 5,5867968,14855.615189873417
2023,11,Línea 8,9869594,17751.06834532374
2022,3,Línea 1,13597153,22290.41475409836
2026,2,Línea 8,8773147,16806.79501915709
2021,5,Línea A,4457442,14662.638157894737
2012,8,Línea 6,5190839,15635.057228915663
2021,5,Línea 7,4136157,9686.550351288057
2021,12,Línea 9,6105831,16913.659279778392
2026,2,Línea 12,9402890,17034.221014492752
2020,4,Línea 7,2253063,5777.084615384615
2026,2,Línea 7,6439746,17594.93442622951
2023,11,Línea 7,7276596,17576.318840579712
2024,6,Línea 2,17229952,24862.845598845597
2020,4,Línea 5,2187944,6341.866666666667
2023,7,Línea 9,7458156,20433.30410958904
2022,5,Línea 9,7005274,19192.531506849315
2010,7,Línea 1,20851081,34521.65728476821
2010,1,Línea 9,8401785,22707.527027027027
2023,7,Línea 11,35830,35830.0
2023,11,Línea 3,13467692,21757.176090468496
2011,7,Línea 8,11742492,20386.270833333332
2023,11,Línea 5,4914856,12933.831578947369
2021,12,Línea 2,13051418,17977.159779614325
2021,5,Línea 4,1120927,3711.67880794702
2021,12,Línea 8,9149471,15939.844947735191
2024,6,Línea B,10096869,16444.412052117263
2020,4,Línea 2,5694557,8349.790322580646
2021,5,Línea 8,6317522,10986.994782608695
2012,8,Línea 8,12912509,22186.441580756014
2023,11,Línea 12,5404885,13150.571776155717
2024,6,Línea 12,8460294,14511.653516295026
2020,4,Línea 8,3490999,6674.950286806883
2024,6,Línea A,5493288,18495.91919191919
2021,7,Línea 3,9881840,15392.27414330218
2023,7,Línea 1,5143870,21255.661157024795
2012,7,Línea 7,7825131,18283.016355140186
2022,3,Línea B,9439860,14772.863849765257
2022,1,Línea A,4138929,13659.831683168317
2022,5,Línea 3,13416578,21195.225908372828
2011,7,Línea 4,2394935,7904.075907590759
2010,7,Línea 11,52390,52390.0
2023,11,Línea 1,5669420,15448.010899182562
2010,1,Línea B,11383309,18011.564873417723
2020,4,Línea 9,2802693,8493.00909090909
2024,6,Línea 3,13646962,22082.462783171522
2021,7,Línea 8,6871689,11868.20207253886
2022,1,Línea 11,6844,6844.0
2011,7,Línea 5,5906644,14766.61
2021,5,Línea 11,24988,8329.333333333334
2023,7,Línea 5,4614584,11802.005115089514
2010,7,Línea 9,8985686,24960.23888888889
2010,1,Línea 11,7409,3704.5
2022,5,Línea A,5927959,19309.312703583062
2023,7,Línea B,10227666,16081.235849056604
2012,7,Línea 8,11946758,20776.97043478261
2010,1,Línea 1,19001298,31200.81773399015
2020,4,Línea B,4086236,6996.979452054795
2026,2,Línea 9,6481141,19880.800613496933
2020,4,Línea 12,3736085,6577.614436619719
2012,7,Línea 9,9193496,25187.660273972604
2010,7,Línea 5,6309770,15893.627204030226
2024,6,Línea 1,4970471,16849.054237288135
2022,1,Línea 9,5487524,15243.122222222222
2021,10,Línea 3,11008821,17419.020569620254
2022,3,Línea 5,5010006,12556.406015037594
2021,7,Línea 7,4574165,10788.125
2021,7,Línea 4,1417467,4678.108910891089
