año,mes,linea,afluencia_total,afluencia_promedio_diaria
2019,10,Línea 4,2522139,8323.89108910891
2017,12,Línea 11,58507,29253.5
2016,8,Línea 2,24353169,33314.868673050616
2016,12,Línea 3,18326073,28589.81747269891
2013,10,Línea 3,22513467,35342.96232339089
2018,3,Línea B,12333854,19515.5917721519
2020,1,Línea 12,11059703,18280.50082644628
2015,12,Línea 6,3994476,12141.26443768997
2016,1,Línea 4,2501463,8121.633116883117
2020,1,Línea 5,6103713,15452.437974683544
2014,1,Línea 3,19146336,29962.967136150233
2014,1,Línea 1,21061750,34527.45901639344
2019,7,Línea 5,6329956,15824.89
2020,1,Línea 6,4101326,12170.106824925817
2013,12,Línea 9,8684661,23728.581967213115
2012,12,Línea 5,6211324,15685.161616161617
2017,1,Línea 9,9379117,25837.78787878788
2013,3,Línea 6,3781010,11320.389221556887
2017,7,Línea A,8187070,27109.50331125828
2016,1,Línea 3,18014617,28103.926677067084
2019,12,Línea B,12640765,19813.11128526646
2019,3,Línea 5,6611903,16529.7575
2016,1,Línea 1,21175370,34600.27777777778
2019,12,Línea 1,19223509,31565.696223316914
2020,1,Línea 3,18259377,28353.069875776397
2020,1,Línea 11,117267,39089.0
2017,7,Línea 6,3742183,11170.69552238806
2018,1,Línea 1,19701470,31982.905844155845
2015,12,Línea 2,23936745,32835.04115226337
2016,7,Línea A,7866799,25877.628289473683
2018,1,Línea 6,3947587,11748.770833333334
2019,3,Línea 12,10731735,17767.773178807947
2020,1,Línea 4,2248742,7421.590759075908
2020,1,Línea 9,7977145,22282.527932960893
2013,12,Línea 2,23125039,31765.16346153846
2016,7,Línea 7,8084178,19021.595294117647
2013,3,Línea 7,7472844,17541.88732394366
2014,1,Línea 9,9580433,26538.595567867036
2018,5,Línea 7,8830983,20633.13785046729
2018,5,Línea 9,9572178,26225.145205479454
2013,12,Línea 7,7391096,17349.990610328638
2017,1,Línea 8,10828805,18800.008680555555
2015,12,Línea B,13771669,21687.667716535434
2013,3,Línea 5,6694213,16819.630653266333
2015,12,Línea 4,2695263,8895.257425742575
2014,1,Línea A,6902830,23009.433333333334
2016,7,Línea 8,10493236,18029.615120274913
