año,mes,tipo_ingreso,ingreso_total
2021,5,Rec.,147231.0
2022,11,Recargas,2.552018528309641E8
2022,7,Tarjetas,1200405.0
2023,4,Recargas,2.5319863393017703E8
2022,4,Recargas,2.46143858112929E8
2022,7,Tarj.,4515.0
2022,9,Tarjeta,6810.0
2022,7,Qr/validacion,0.0
2022,11,Boleto,974650.0
2022,5,Boletos,1.45338245E8
2023,2,Qr/validacion,0.0
2022,11,Bóletos,1447540.0
2022,7,Tarjeta,4050.0
2022,6,Boletos,1.4344773E8
2022,4,Qr Validación,0.0
2022,5,Qr/validación,381420.0
2022,4,Qr/validador,0.0
2022,5,Tarjeta,2235.0
2021,5,Bol.,596175.0
2023,2,Tarjeta,7800.0
2022,9,Qr/validador,0.0
2022,6,Rec.,607771.3
2023,4,Bol.,675775.0
2022,5,Recarga,3355908.25
2021,5,Recargas,1.8335395122E8
2022,9,Bol.,153150.0
2022,2,Boleto,1183900.0
2022,9,Qr/validación,384245.0
2023,4,Tarjetas,1206765.0
2022,2,Recarga,1395814.3118244251
2022,9,Tarjetas,1498455.0
2022,4,Tarjeta,8850.0
2022,9,Qr Validación,0.0
2023,2,Rec.,1079146.2
2013,7,Tarj.,2630.0
2022,9,Qr/validacion,0.0
2013,7,Boletos,1.90696824E8
2021,5,Boleto,700100.0
2016,12,Tarjeta,290.0
2022,11,Boletos,1.37994095E8
2017,11,Tarj.,41720.0
2017,5,Tarjeta,0.0
2016,8,Boletos,3.10005625E8
2017,4,Recargas,2.623851186E8
2016,10,Tarj.,3300.0
2017,10,Bóletos,1510350.0
2017,10,Tarjetas,1485050.0
2021,7,Recarga,1031006.0
2013,10,Tarj.,39470.0
2017,5,Boleto,862675.0
2017,10,Tarjeta,0.0
2017,4,Bol.,558000.0
2017,3,Recarga,3148062.0
2013,10,Rec.,1091046.0
2017,3,Tarjeta,490.0
2018,1,Tarj.,0.0
2017,3,Recargas,3.083036885E8
2021,7,Boleto,413900.0
2017,11,Tarjetas,1969210.0
2017,8,Recarga,277564.0
2017,10,Boleto,2286675.0
2016,8,Tarjetas,1654670.0
2017,4,Boleto,2718815.0
2017,3,Boleto,364600.0
2017,8,Bóletos,791750.0
2018,1,Recargas,2.81748389E8
2013,10,Boletos,2.04320979E8
2017,3,Tarjetas,1498100.0
2017,5,Boletos,2.87523785E8
2017,3,Bóletos,237850.0
2021,6,Tarjeta,285.0
2018,1,Tarjeta,17740.0
2016,10,Boleto,1080275.0
2017,5,Rec.,2112116.0
2017,10,Boletos,2.9590896E8
2017,5,Bóletos,540000.0
2017,8,Tarjeta,250.0
2021,7,Bóletos,94025.0
2016,8,Boleto,1724100.0
2021,6,Tarj.,1245.0
2013,10,Recargas,2.1840675925000015E8
2016,10,Tarjeta,20210.0
2021,6,Boleto,230700.0
2017,3,Boletos,2.96713415E8
2013,10,Boleto,1279560.0
2017,8,Recargas,3.094378624E8
2016,8,Bol.,2202200.0
2017,10,Recarga,3644806.0
2016,10,Bóletos,1289250.0
2017,5,Bol.,231575.0
2017,8,Bol.,382850.0
2017,4,Rec.,696693.0
2016,10,Recarga,1892132.0
2017,11,Recargas,2.99398542E8
2017,4,Boletos,2.63845935E8
2016,10,Recargas,3.1018935249999994E8
2017,8,Tarjetas,1646470.0
2016,10,Rec.,1100205.0
2021,6,Tarjetas,1654350.0
2021,6,Boletos,1.0117091E8
2013,10,Tarjeta,4670.0
2016,8,Tarj.,1090.0
2017,5,Recargas,2.998608097E8
2016,8,Recargas,3.050069966E8
2016,10,Boletos,3.12622125E8
2017,11,Bóletos,658350.0
2021,6,Bol.,667500.0
2017,4,Recarga,2222977.0
2021,7,Tarj.,3645.0
2016,8,Tarjeta,0.0
2017,4,Tarjetas,1416130.0
2016,10,Tarjetas,1529160.0
2017,8,Boleto,1352750.0
2017,11,Tarjeta,1570.0
2021,6,Recargas,1.9725486950446862E8
2017,8,Rec.,742636.0
2018,1,Boleto,594250.0
2018,1,Boletos,2.73350535E8
2018,1,Recarga,1545110.0
2017,4,Bóletos,2656475.0
2018,1,Tarjetas,2630950.0
2017,8,Boletos,2.9574927E8
2017,10,Recargas,2.964863143E8
2013,10,Bóletos,1003395.0
2017,11,Bol.,1492940.0
2013,10,Tarjetas,2228760.0
2017,11,Boletos,2.8305707E8
2021,7,Tarjeta,13290.0
2021,7,Boletos,1.0938389E8
2017,5,Recarga,1686863.0
2021,6,Recarga,2495770.0
2017,11,Boleto,1269475.0
2021,7,Recargas,2.1191221429130462E8
2017,4,Tarjeta,2370.0
2021,7,Tarjetas,1689060.0
2017,5,Tarjetas,1520990.0
2014,8,Recarga,1203754.6
2021,10,Tarjeta,4710.0
2016,11,Recarga,1851405.0
2020,1,Bol.,481455.0
2017,7,Boletos,2.7844894E8
2012,12,Boletos,2.10429174E8
2016,7,Boleto,3390005.0
2012,12,Tarjetas,3365510.0
2014,8,Boletos,3.18413225E8
2013,12,Recargas,1.4533889674999997E8
2021,10,Boleto,345935.0
2014,8,Bóletos,1089650.0
2014,7,Rec.,945267.5
2012,12,Tarjeta,6800.0
2013,12,Tarjetas,1371790.0
2020,1,Rec.,1307533.0
2012,12,Rec.,95214.0
2016,9,Boletos,2.9750519E8
2014,7,Recarga,1228231.5
2014,7,Tarjeta,6680.0
2016,9,Tarjetas,1440600.0
2014,8,Rec.,294848.0
2016,11,Boletos,3.0006256E8
2012,12,Recargas,1.6190908215E8
2020,1,Tarj.,8610.0
2012,12,Bóletos,287520.0
2014,7,Tarjetas,1465070.0
2016,11,Bol.,308200.0
2014,7,Boletos,2.98252035E8
2017,12,Boleto,1229800.0
2016,7,Tarjetas,1301580.0
2017,7,Recargas,2.8120097579999995E8
2017,6,Recarga,5053031.2
2017,12,Bol.,875900.0
2014,7,Bol.,1945400.0
2016,7,Boletos,2.94411705E8
2017,7,Boleto,677225.0
2017,6,Boleto,589875.0
2016,11,Boleto,2265190.0
2016,7,Recarga,881996.0
2020,1,Tarjeta,34860.0
2014,7,Boleto,1410455.0
2020,1,Boletos,2.22391595E8
2013,12,Boletos,3.76425722E8
2021,10,Bóletos,417850.0
2014,7,Recargas,2.3966905207000023E8
2021,10,Recarga,2528529.8
2017,12,Recargas,2.71564958E8
2016,11,Tarjetas,1354150.0
2013,12,Boleto,4505875.0
2014,7,Tarj.,5040.0
2014,8,Tarj.,1140.0
2014,8,Bol.,0.0
2020,1,Tarjetas,2.0698155E7
2021,10,Tarj.,7800.0
2021,10,Bol.,429625.0
2017,12,Recarga,1903176.0
2014,8,Tarjeta,20670.0
2020,1,Recargas,3.38893482E8
2014,8,Recargas,2.6350125819000012E8
2016,9,Recarga,1494650.0
2017,7,Tarjetas,1525740.0
2016,7,Tarjeta,0.0
2016,9,Bol.,1056135.0
2017,12,Tarjetas,1322310.0
2021,10,Tarjetas,1844145.0
2017,6,Recargas,2.800394318E8
2021,10,Boletos,1.28345735E8
2017,12,Tarjeta,45020.0
2017,6,Tarjetas,1483740.0
2016,11,Tarjeta,48820.0
2013,12,Recarga,900437.0
2021,10,Rec.,952377.0
2013,12,Bóletos,564475.0
2017,12,Boletos,2.9120908E8
2017,6,Boletos,2.7946105E8
2012,12,Recarga,1130105.8
2021,10,Recargas,2.2570166228575554E8
2016,9,Recargas,2.8269530995E8
2016,7,Recargas,2.649176105E8
2012,12,Bol.,519450.0
2014,8,Boleto,2497560.0
2016,7,Rec.,979779.0
2014,8,Tarjetas,1625780.0
2012,12,Boleto,672450.0
2016,11,Recargas,2.94507766E8
2013,12,Tarjeta,850.0
2017,12,Tarj.,0.0
2017,12,Rec.,1698007.0
2017,6,Tarjeta,700.0
2016,9,Tarjeta,2780.0
2013,12,Bol.,2614401.0
2020,1,Bóletos,960600.0
2015,1,Bol.,1826300.0
2015,1,Recarga,3539474.9
2021,1,Boleto,151150.0
2013,11,Rec.,1055290.0
2020,3,Recargas,3.02017213E8
2014,5,Recargas,2.4999845945000017E8
2016,4,Recargas,2.899633703000001E8
2020,10,Recargas,2.46832309E8
2014,5,Tarjeta,3410.0
2020,3,Rec.,2943008.0
2019,12,Bol.,1267075.0
2019,12,Tarjeta,7520.0
2015,1,Recargas,2.4254101959000018E8
2013,11,Tarjeta,15030.0
2020,10,Boletos,7.3655975E7
2013,11,Recargas,2.1025635790000004E8
2019,12,Recargas,2.89433414E8
2015,5,Rec.,163226.0
2020,8,Rec.,68929.0
2021,1,Recargas,1.401937E8
2016,4,Recarga,202212.0
2020,10,Boleto,689750.0
2021,1,Bóletos,68350.0
2019,12,Boletos,2.379698E8
2015,5,Recargas,2.5626447497000033E8
2014,10,Tarjetas,1519990.0
2020,8,Tarjeta,27330.0
2020,3,Tarjeta,19875.0
2019,12,Recarga,2130576.0
2016,4,Tarjetas,1414220.0
2013,11,Tarj.,2540.0
2013,11,Boleto,3814131.0
2021,1,Tarjetas,1457775.0
2014,5,Bol.,1308875.0
2014,10,Recargas,2.674369807100003E8
2021,1,Recarga,1961966.0
2015,1,Rec.,275448.0
2016,4,Boleto,871550.0
2013,11,Bol.,244920.0
2015,5,Tarjetas,1456640.0
2014,3,Bóletos,1610925.0
2015,1,Boletos,3.05575035E8
2014,10,Boletos,3.2336304E8
2014,5,Boleto,576925.0
2013,11,Boletos,1.93963647E8
2014,5,Tarjetas,1489690.0
2016,4,Boletos,3.0130311E8
2016,4,Tarj.,0.0
2015,5,Tarjeta,6120.0
2015,5,Tarj.,3920.0
2020,3,Bóletos,0.0
2020,8,Tarjetas,3205935.0
2020,8,Boletos,7.1513585E7
2019,12,Tarjetas,3465715.0
2020,8,Tarj.,135.0
2016,4,Rec.,935052.0
2014,5,Boletos,3.0759107E8
2020,8,Recarga,471838.0
2020,3,Recarga,2866965.0
2014,5,Recarga,1195836.0
2019,12,Boleto,1744625.0
2020,10,Tarjetas,3362670.0
2013,11,Bóletos,443730.0
2021,1,Boletos,4.6796075E7
2020,8,Recargas,2.06633822E8
2021,1,Tarj.,2970.0
2014,3,Tarj.,34920.0
2020,10,Recarga,985558.0
2015,5,Boletos,3.1161797E8
2020,3,Boletos,1.5699855E8
2015,5,Bol.,0.0
2014,3,Recargas,2.6309549929000032E8
2014,3,Tarjetas,1569440.0
2019,12,Rec.,157959.0
2020,8,Boleto,173625.0
2016,4,Tarjeta,7910.0
2015,1,Tarjetas,1597680.0
2014,3,Rec.,898249.0
2013,11,Recarga,2035461.9000000001
2014,3,Boletos,2.9918866E8
2015,1,Tarjeta,5780.0
2014,10,Boleto,2619210.0
2021,1,Tarjeta,0.0
2020,10,Bóletos,158225.0
2014,10,Bóletos,740125.0
2014,10,Tarjeta,8310.0
2020,8,Bol.,77125.0
2020,3,Tarjetas,6180030.0
2014,3,Recarga,2145428.0
2014,5,Rec.,158057.0
2015,5,Recarga,1074091.0
2014,10,Recarga,299845.0
2013,11,Tarjetas,2717650.0
2014,3,Boleto,2570715.0
2015,1,Boleto,2618195.0
2020,3,Boleto,2071875.0
2013,5,Tarj.,41330.0
2014,6,Recarga,5311005.9
2015,7,Bol.,1279885.0
2014,6,Tarjeta,3090.0
2014,12,Recargas,2.352453765000001E8
2015,10,Boletos,3.30064345E8
2013,1,Tarjeta,10650.0
2015,3,Tarjeta,13330.0
2018,5,Recargas,3.12482362E8
2014,12,Tarjeta,4060.0
2020,12,Recarga,2253778.0
2020,12,Tarjeta,3840.0
2014,6,Bóletos,2396900.0
2013,1,Boletos,1.99420077E8
2020,7,Tarjetas,2684745.0
2015,3,Recarga,3232225.8
2020,12,Tarjetas,2407020.0
2015,8,Boletos,3.13934355E8
2015,7,Boletos,3.0149863E8
2013,1,Recarga,408818.3
2015,3,Tarj.,2240.0
2013,1,Boleto,0.0
2015,3,Boleto,1337325.0
2014,6,Tarjetas,1410560.0
2013,5,Boleto,606225.0
2015,7,Tarj.,590.0
2020,7,Boleto,55050.0
2014,6,Boletos,2.8622657E8
2014,12,Boletos,3.12925725E8
2018,7,Recargas,2.79868248E8
2018,7,Boletos,2.4785807E8
2018,5,Recarga,771663.0
2014,12,Tarjetas,1506200.0
2014,6,Bol.,2138055.0
2015,10,Tarjeta,9170.0
2015,10,Recarga,830797.0
2015,3,Recargas,2.5660885014000028E8
2020,12,Boleto,367950.0
2018,5,Rec.,1361796.0
2014,6,Boleto,3566100.0
2013,5,Boletos,1.99646259E8
2015,3,Rec.,721455.3
2018,5,Boletos,2.5933963E8
2018,5,Tarjetas,2199690.0
2015,7,Recarga,3404489.5999999996
2015,8,Recarga,2642463.0
2020,7,Recargas,1.79355884E8
2020,7,Tarjeta,13260.0
2015,8,Recargas,2.629051859E8
2015,10,Boleto,1217700.0
2014,12,Recarga,3633942.6
2015,7,Tarjetas,1418530.0
2015,8,Boleto,3233265.0
2013,5,Bol.,0.0
2015,8,Tarjeta,4060.0
2020,12,Bóletos,247575.0
2013,5,Tarjeta,5950.0
2015,10,Recargas,2.807308541E8
2014,12,Bol.,944425.0
2015,3,Tarjetas,1479340.0
2020,12,Boletos,8.391356E7
2020,7,Boletos,6.8134085E7
2013,5,Recarga,1359597.0
2015,7,Recargas,2.474157869E8
2014,12,Boleto,1009750.0
2015,7,Tarjeta,1490.0
2014,6,Recargas,2.350495623000002E8
2014,6,Rec.,238316.0
2013,1,Recargas,1.8156558319000003E8
2015,10,Tarjetas,1649370.0
2015,10,Rec.,716796.0
2015,3,Boletos,3.1224948E8
2015,8,Tarj.,5790.0
2018,5,Tarj.,5410.0
2018,7,Tarjeta,270.0
2015,7,Boleto,3350160.0
2018,5,Tarjeta,51260.0
2013,1,Tarjetas,2972130.0
2018,5,Boleto,3081875.0
2015,8,Tarjetas,1611490.0
2018,7,Recarga,4454661.0
2013,5,Tarjetas,2200970.0
2020,7,Bóletos,867730.0
2018,7,Tarjetas,1083530.0
2020,12,Recargas,2.18672359E8
2013,1,Bóletos,1153395.0
2013,5,Recargas,1.9278172411E8
2020,12,Bol.,63400.0
2020,7,Recarga,1706974.0
2015,12,Bol.,0.0
2019,3,Tarj.,0.0
2021,4,Boleto,68350.0
2014,1,Tarj.,5380.0
2016,6,Bóletos,1214550.0
2019,1,Recarga,436315.0
2013,3,Recargas,1.788693713E8
2015,6,Rec.,888953.35
2021,8,Tarjeta,1095.0
2016,6,Tarjeta,0.0
2013,3,Tarjetas,1868170.0
2019,5,Bol.,263125.0
2013,3,Boleto,1467285.0
2021,4,Tarj.,960.0
2019,3,Boletos,2.5086766E8
2016,6,Recargas,2.71583553E8
2014,1,Tarjetas,2042710.0
2019,1,Boletos,2.53666875E8
2016,1,Rec.,454583.0
2021,8,Tarjetas,1722465.0
2014,1,Recarga,1581710.0
2014,1,Recargas,2.268178364500001E8
2019,1,Recargas,2.87522408E8
2016,6,Rec.,666331.0
2019,5,Rec.,255588.0
2019,3,Tarjeta,0.0
2015,6,Tarjetas,1420610.0
2013,3,Boletos,1.90470981E8
2019,5,Tarjetas,1111620.0
2019,1,Rec.,1219951.0
2019,3,Boleto,313875.0
2016,1,Boletos,2.8657964E8
2019,3,Recarga,520694.0
2015,6,Boleto,255075.0
2021,4,Tarjetas,2116605.0
