año,mes,linea,afluencia_total,ingreso_total,ingreso_por_pasajero
2019,4,Línea 2,19877277,8.112467E7,4.0812768268007735
2018,9,Línea 8,10624664,4.7564853E7,4.476833620338488
2013,9,Línea A,7152454,2.1530613300000004E7,3.010241422035011
2017,9,Línea 5,5160110,1.8410887E7,3.567925296166167
2020,4,Línea 4,788879,1872167.0,2.3731991851728846
2017,9,Línea 2,15442535,6.6774675E7,4.324074706646286
2020,11,Línea 9,4551769,1.9038187E7,4.182590768556137
2017,9,Línea 9,6423103,2.5867631E7,4.0272794940389405
2015,11,Línea 7,8489429,4.0916744E7,4.819728629569786
2017,9,Línea 4,1796139,8512942.0,4.7395786183586015
2019,4,Línea 8,10089409,3.950062E7,3.915057859186797
2019,9,Línea 5,6265589,2.2008938E7,3.5126686413679544
2018,4,Línea 4,2444265,1.1803509E7,4.829062724377267
2013,9,Línea 5,7198851,1.82743968E7,2.538515771475198
2019,4,Línea 6,3663900,1.5510047E7,4.233206965255602
2020,11,Línea B,7019375,3.03506E7,4.32383225002226
2013,9,Línea 12,8088084,3.1409532E7,3.8834329613787393
2019,4,Línea 4,2148740,9849588.0,4.583890093729348
2019,4,Línea 9,7309158,3.0417482E7,4.161557596647931
2020,4,Línea A,2690498,1.3069233E7,4.8575516502892775
2019,9,Línea 7,8705661,3.734166E7,4.289353789448039
2019,4,Línea 7,7767626,3.6873096E7,4.747022578069542
2019,4,Línea B,11515903,4.790036E7,4.159496654322288
2020,11,Línea 1,11513450,5.1377498E7,4.462389466232971
2018,6,Línea 3,18073539,7.6663042E7,4.2417283078870165
2018,4,Línea A,8152607,2.6664766E7,3.270704205415519
2013,9,Línea 9,9971844,2.56569313E7,2.572937492804741
2019,9,Línea 9,8013112,3.0095689E7,3.7558053600149357
2019,4,Línea 5,5991149,2.3005461E7,3.8399080042909968
2017,9,Línea 3,13282641,5.7306729E7,4.314407729607388
2013,9,Línea 8,10766532,3.29607218E7,3.0614056411108055
2018,6,Línea 8,10915137,4.800501E7,4.398021756392064
2018,4,Línea 8,11030014,4.8178639E7,4.367958100506491
2015,11,Línea 12,5544968,3.1304092800000004E7,5.645495663816275
2019,6,Línea 9,8006625,3.0617377E7,3.824005370552511
2016,2,Línea 9,9292332,3.728992E7,4.0129775819460605
2021,2,Línea 4,973508,3171424.0,3.2577277228333
2012,3,Línea 7,7936077,2.4947763700000003E7,3.1435889167910043
2019,6,Línea 7,8853262,3.7541242E7,4.240385295273087
2018,11,Línea 1,19695897,7.542936E7,3.8296991500310953
2018,2,Línea 5,6794022,2.255663E7,3.320070202893073
2015,2,Línea 8,10750350,4.866923844999999E7,4.527223620626304
2012,1,Línea 7,7705294,2.41760106E7,3.137584445187945
2012,5,Línea A,8638795,2.20046005E7,2.547184011196006
2012,3,Línea B,14114320,3.85000712E7,2.7277312119889587
2015,2,Línea 9,9349164,3.5676174E7,3.815974775926489
2013,2,Línea A,6990342,2.01702283E7,2.8854422716370673
2012,3,Línea 5,6358606,1.78302503E7,2.8041130870508413
2019,6,Línea 8,10926538,4.2169076E7,3.8593263483822597
2014,2,Línea 7,7645898,3.45878769E7,4.523716756357461
2019,6,Línea 6,3880285,1.4737653E7,3.798085192195934
2018,11,Línea 12,10491594,5.4244356E7,5.170268311945735
2015,2,Línea 7,7494575,3.850804950000001E7,5.138123175763804
2013,2,Línea 9,9625461,2.30092997E7,2.390462098386768
2018,11,Línea B,12541195,5.2880085E7,4.216510866787416
2019,6,Línea A,6336390,2.4903079E7,3.9301682819397166
2019,6,Línea 4,2296531,1.0073297E7,4.386310047632712
2012,5,Línea 1,22300889,6.086216960000001E7,2.729136475231997
2014,2,Línea 2,22207771,9.032477859999998E7,4.067259996512031
2012,9,Línea 1,22060873,5.7394212E7,2.601629228362812
2021,2,Línea A,3620490,2.0833345E7,5.754288784114857
2018,11,Línea 6,4340460,1.7516166E7,4.035555217649742
2012,1,Línea 9,9187152,2.47265145E7,2.691423250643943
2018,11,Línea 7,9183327,3.8033889E7,4.14162416300759
2021,2,Línea 3,5704052,3.1302606E7,5.487784122585138
2014,2,Línea A,6920212,2.2390383450000003E7,3.235505422377234
2014,2,Línea 12,7587793,3.9521839099999994E7,5.208607970723502
2015,2,Línea 12,4169118,2.05346108E7,4.925408875450395
2012,3,Línea 8,12315944,3.3979345400000006E7,2.758972060931749
2019,6,Línea 5,6246519,2.1500086E7,3.4419307777659847
2021,2,Línea 2,5098640,2.5823944E7,5.064869063122715
2012,5,Línea 6,4835945,1.29835726E7,2.6848056791382033
2021,2,Línea 9,4063459,1.8066278E7,4.446034277692971
2016,2,Línea 4,2416533,1.1610684E7,4.804686714396203
2012,3,Línea A,8575707,2.24056625E7,2.612689834202591
2015,2,Línea 6,3895189,1.8318723E7,4.702909922984482
2018,2,Línea 9,8938022,3.2839786E7,3.6741670584386568
2012,1,Línea 8,11854698,3.13962595E7,2.64842339298732
2018,2,Línea 2,21574788,8.7845066E7,4.071653728416706
2018,11,Línea 3,17998599,7.7505425E7,4.306192109730318
2016,2,Línea 12,8045699,4.45807663E7,5.540943838440886
2012,9,Línea 2,25080024,7.06827704E7,2.8182895837739235
2018,2,Línea 12,8658174,4.8596445E7,5.612782210198132
2021,2,Línea 7,3267544,1.7307528E7,5.2968002879226725
2016,2,Línea 8,10732804,4.8521253E7,4.520836586599364
2012,9,Línea 9,9556451,2.5636667E7,2.6826556218412043
2012,1,Línea A,8162813,2.1860766E7,2.678092221394757
2016,2,Línea 7,8250302,4.0853144E7,4.951714979645594
2019,6,Línea 2,21829827,8.4428323E7,3.8675672051821572
2019,6,Línea 3,17925178,6.9140154E7,3.8571529945197756
2012,1,Línea B,13370067,3.7233376900000006E7,2.784830988505892
2018,2,Línea 1,18556963,7.5646135E7,4.076428616040244
2021,2,Línea 6,1315023,4365074.0,3.3193898509759907
2012,5,Línea 4,2428810,7193423.5,2.9617069676096524
2015,2,Línea 2,21981968,9.46703001E7,4.306725407843374
2012,9,Línea 3,20376291,5.641983799999999E7,2.76889636097168
2012,5,Línea 5,6101508,1.62046262E7,2.6558395399956862
2013,2,Línea 6,3693211,1.15408216E7,3.1248746957593267
2018,2,Línea B,11592923,5.2136898E7,4.497303915500862
2016,2,Línea 5,6875161,2.7935186E7,4.063204628953416
2014,2,Línea 8,9369597,4.43841226E7,4.737036459519016
2018,11,Línea 2,21940198,8.8529668E7,4.035044168698933
2016,2,Línea 2,22203268,9.5861372E7,4.317444260907899
2015,2,Línea 5,6442319,2.58967165E7,4.019781774233781
2012,5,Línea 2,26041490,7.108388077E7,2.7296395394426356
2018,11,Línea 4,2684700,1.1530724E7,4.294976719931464
2012,5,Línea 7,8303455,2.43834268E7,2.9365398861076506
2021,2,Línea B,5520776,2.5582436E7,4.633847850374657
2012,3,Línea 9,9919734,2.56198281E7,2.5827132158987327
2013,2,Línea 12,6146675,2.3646649900000002E7,3.847063640098102
2021,2,Línea 1,7627067,3.8373307E7,5.031200984598667
2013,2,Línea 7,7294461,2.44907586E7,3.3574459579672853
2014,2,Línea 9,9223727,3.2408499400000002E7,3.5136013240634725
2012,9,Línea A,7958169,1.9456138200000003E7,2.44480083295542
2019,6,Línea B,12025689,4.660188E7,3.875194178063311
2014,2,Línea B,12260273,5.19703908E7,4.2389260663282124
2016,2,Línea 6,4074887,1.8661164E7,4.5795537397724155
2018,2,Línea 7,8031755,4.1053776E7,5.11143280640408
2018,11,Línea 9,9179906,3.4061906E7,3.7104852707642104
2012,1,Línea 5,5898914,1.69537779E7,2.8740506981454548
2012,3,Línea 6,4924660,1.30024603E7,2.6402757347715378
2012,9,Línea 6,5026987,1.38611708E7,2.757351630310562
2016,2,Línea B,12625707,5.682278E7,4.50056222594109
2021,2,Línea 12,4530913,2.6504332E7,5.849666943505647
2018,2,Línea 6,4143898,1.6842091E7,4.06431118719621
2015,2,Línea 3,18599944,7.996752069999999E7,4.2993420141479985
2016,2,Línea A,8091564,2.4887121E7,3.0756873454872258
2015,2,Línea 1,20409216,8.210627569999997E7,4.022999986868676
2013,2,Línea 3,18608928,5.40566666E7,2.904878056382399
2012,9,Línea 4,2538722,7369031.6,2.9026540125307143
2012,1,Línea 4,2358252,7051621.5,2.9901899796968263
2019,6,Línea 1,18495595,7.1495209E7,3.865526305047229
2016,2,Línea 1,20176911,8.4112248E7,4.168737622919584
2014,2,Línea 1,19036825,7.994844799999999E7,4.199673422432574
2014,2,Línea 3,18823093,7.27604553E7,3.865488806754554
2013,2,Línea 8,10301929,3.0185257849999998E7,2.9300588122865143
2014,2,Línea 5,6526866,2.51937547E7,3.8600079578774866
2013,2,Línea 5,6348275,1.6389185200000001E7,2.5816753685056177
2015,2,Línea B,12205343,5.461255489999999E7,4.474479324341806
2012,9,Línea 5,5989540,1.7342213200000003E7,2.8954165428396843
2014,2,Línea 6,3808609,1.76066139E7,4.62284626749556
2016,2,Línea 3,18812274,8.132164E7,4.322796914397483
2013,2,Línea B,12793348,3.489491910000001E7,2.7275830455014596
2012,1,Línea 6,4709554,1.25376021E7,2.662163359842567
2012,5,Línea 3,20707135,5.50811651E7,2.660008982411135
2012,3,Línea 1,22051020,6.0834144199999996E7,2.758790486789273
2012,1,Línea 3,19642468,5.4988741699999996E7,2.7994823104713724
2012,1,Línea 1,21381411,5.94740635E7,2.781578049269059
2013,2,Línea 2,23046686,6.480151129999999E7,2.8117496502534025
2013,2,Línea 4,2189797,6866330.3,3.135601290895914
2012,9,Línea 8,12247361,3.3585940900000006E7,2.7423002310456925
2012,3,Línea 3,20914118,5.5844991900000006E7,2.670205451647543
2015,2,Línea A,7604261,2.4239203500000004E7,3.1875817387120198
2012,5,Línea 8,12499309,3.2812912599999998E7,2.6251781278469073
2018,11,Línea 5,7326963,2.4156642E7,3.296951547319128
2018,2,Línea 3,18257009,7.7622506E7,4.2516551314621145
2021,2,Línea 8,4851550,2.0169875E7,4.157408457091033
2018,11,Línea A,9131547,2.6118735E7,2.8602749347947287
2015,2,Línea 4,2334857,1.12774291E7,4.830029890481516
2012,5,Línea B,13762406,3.88030716E7,2.819497666323752
2013,2,Línea 1,19491370,5.38895658E7,2.764791074203609
2012,9,Línea 7,8023437,2.38765645E7,2.975852430822352
2012,1,Línea 2,25340553,7.04802415E7,2.781322155834563
2018,2,Línea 8,10168666,4.5804948E7,4.504518881827764
2019,6,Línea 12,10612586,4.9962763E7,4.707878268312737
2012,3,Línea 2,26477789,7.20415595E7,2.72082988122611
2018,2,Línea 4,2345032,1.0909613E7,4.652223509103501
2021,2,Línea 5,2740683,1.2071012E7,4.404380951755456
2012,5,Línea 9,9701597,2.4553300900000002E7,2.530851456724084
2018,11,Línea 8,11115844,4.7419753E7,4.265960641405187
2018,2,Línea A,7942896,2.6665229E7,3.357116724177177
2012,9,Línea B,13815494,3.78316505E7,2.738349457500398
2014,2,Línea 4,2332654,1.06757401E7,4.576649644567947
2012,3,Línea 4,2438584,7344530.3,3.0118012338307802
2012,10,Línea B,14684836,3.93030667E7,2.6764389265225708
2012,8,Línea 2,26549589,7.040407160000001E7,2.651795159616219
2012,2,Línea A,8281116,2.08349755E7,2.515962280929285
2012,10,Línea 4,2733815,7954825.5,2.909789250552799
2012,8,Línea 1,23032483,6.15772378E7,2.6734954194908123
2012,4,Línea 4,2173087,6591874.3,3.033414814961389
2012,2,Línea 2,24610281,6.66938462E7,2.709999377902268
2012,4,Línea 8,11039462,3.06326465E7,2.7748314637071987
2012,2,Línea 9,9052996,2.37585553E7,2.624385927045588
2012,2,Línea 1,20362434,5.6043170599999994E7,2.7522824923582316
2012,8,Línea A,5821607,1.46360633E7,2.5140933250904776
2012,10,Línea 8,12919856,3.59797075E7,2.784838120486792
2012,7,Línea A,5298731,1.21741673E7,2.2975628126809986
2012,7,Línea 6,4573416,1.26592219E7,2.7680014020154737
2019,2,Línea 3,17387720,7.0259723E7,4.040766874552846
2012,6,Línea 6,4469508,1.24358498E7,2.7823755545353093
2012,4,Línea 7,7140121,2.1436592150000002E7,3.00227295167687
2012,7,Línea 5,5867968,1.6387540400000002E7,2.7927112758624455
2012,6,Línea 7,7364083,2.3947338400000002E7,3.2519104415308737
2012,6,Línea B,12695969,3.73031916E7,2.9381917677965346
2019,2,Línea 8,10414878,4.1569432E7,3.991350834834551
2012,2,Línea 6,4792793,1.299177E7,2.7106887361920284
2019,2,Línea 6,3891559,1.5835295E7,4.069139129073978
2012,8,Línea 6,5190839,1.34017326E7,2.5818047140356306
2012,10,Línea 1,22958299,6.2467070400000006E7,2.720892797850573
2012,4,Línea 1,20901223,5.4895244449999996E7,2.6264130309503897
2019,2,Línea 2,20188636,8.3366074E7,4.129356435967244
2012,4,Línea 6,4270943,1.18851451E7,2.7827917862635956
2012,4,Línea A,7698865,2.0427925400000002E7,2.6533684380749634
2012,8,Línea 8,12912509,3.52871735E7,2.7327898474262438
2019,2,Línea A,6093849,2.5052247E7,4.111071180135904
2019,2,Línea 5,5845854,2.2125832E7,3.7848759137672614
2012,7,Línea 7,7825131,2.32938991E7,2.976806279664839
2012,4,Línea 3,17830229,5.08756466E7,2.8533366901793578
2019,2,Línea 7,8405816,3.7301866E7,4.437625805751637
2019,2,Línea 12,10310337,4.9737914E7,4.8240822778149735
2012,6,Línea 8,11689123,3.34379464E7,2.860603520041666
2012,7,Línea 8,11946758,3.2935499200000003E7,2.7568566467990734
2012,10,Línea 9,10312773,2.79719325E7,2.7123580146678297
2012,7,Línea 9,9193496,2.47838481E7,2.6958023476596935
2012,10,Línea 5,6574992,1.84778464E7,2.810322263509978
2019,2,Línea 4,2206837,9954736.0,4.510861472777554
2012,8,Línea 3,21685034,5.902082250000001E7,2.721730687625392
2012,8,Línea 5,6714497,1.83819213E7,2.737646811071626
2012,7,Línea B,13199252,3.71627458E7,2.815519076384025
2012,10,Línea 3,22156295,6.20644142E7,2.8012090559364733
2012,8,Línea 9,9872876,2.6232603700000003E7,2.657037696006716
2012,10,Línea 7,8614342,2.72024572E7,3.157810219283144
2012,2,Línea 3,19531670,5.32189393E7,2.7247510991123645
2012,2,Línea B,12924281,3.58414202E7,2.7731848448668055
2012,7,Línea 1,22275767,5.89568506E7,2.646681059287431
2012,10,Línea A,8621549,2.3408649900000002E7,2.715132733108633
2012,6,Línea 3,18454291,5.37718748E7,2.9137870861579023
2012,2,Línea 7,7694633,2.3190741200000003E7,3.0138852886161045
2012,6,Línea 9,8999003,2.46553603E7,2.739787985402383
2012,4,Línea 2,23494697,6.3424504E7,2.699524237320447
2012,6,Línea A,7714687,2.14496131E7,2.7803607716035663
2012,8,Línea B,14268862,3.97003094E7,2.7823038305367307
2012,2,Línea 8,11518706,3.17982686E7,2.760576457112457
2012,2,Línea 5,5956923,1.66122547E7,2.788730809513569
2012,7,Línea 3,19149836,5.31538346E7,2.7756809301134484
2012,10,Línea 2,27401192,7.542010799999999E7,2.7524389449918814
2012,4,Línea B,12476058,3.59008484E7,2.8775794726186747
2019,2,Línea 1,18126342,6.7324516E7,3.7141810520843093
2012,8,Línea 7,8319302,2.4698450400000002E7,2.9688128162675187
2019,2,Línea 9,7727299,3.073722E7,3.977744358022124
2012,6,Línea 5,5587914,1.6423049E7,2.939030378778199
2012,6,Línea 1,20567931,5.8478727099999994E7,2.8431993038094108
2012,7,Línea 4,2443269,6973190.5,2.854041245560763
2012,10,Línea 6,5348852,1.51142953E7,2.8257082641284526
2012,7,Línea 2,25130038,6.248014439999999E7,2.4862733753128423
2012,8,Línea 4,2651365,7476469.0,2.819856564448878
2012,6,Línea 2,24067839,6.82414936E7,2.835381007825422
2012,4,Línea 5,5703099,1.56191888E7,2.738719562820144
2012,2,Línea 4,2290444,6653946.0,2.9050900174813266
2012,6,Línea 4,2329674,6933938.2,2.9763555759303664
2012,4,Línea 9,8483453,2.32885843E7,2.7451775002466565
2019,2,Línea B,11606649,4.5071547E7,3.883252349579969
