año,mes,linea,afluencia_total,ingreso_total,ingreso_por_pasajero
2020,10,Línea 4,1274435,3092616.0,2.4266565183787328
2018,5,Línea B,12790164,5.5629727E7,4.3494146752144855
2014,3,Línea 5,7279172,2.79032205E7,3.8332959435496234
2013,5,Línea 6,4201793,1.19790358E7,2.85093430352233
2020,7,Línea 7,3391557,1.5454643E7,4.556798838999315
2013,11,Línea 1,22681069,6.182491879999999E7,2.7258379576377108
2014,3,Línea A,7672357,2.5747169800000004E7,3.35583573600655
2018,5,Línea 5,7208945,2.5563235E7,3.5460438385921935
2020,10,Línea 9,4927332,2.0608128E7,4.182411089814934
2013,11,Línea 7,8478337,2.6594047500000004E7,3.136705641684213
2013,11,Línea 12,8676811,3.21623497E7,3.706701655711989
2014,5,Línea 1,21488567,8.8402976E7,4.113953992371851
2013,11,Línea 9,11489937,2.61185296E7,2.273165605694792
2014,5,Línea 4,2533744,1.15681515E7,4.565635478564527
2014,3,Línea 4,2538233,1.21906795E7,4.802821293395839
2014,6,Línea 7,7744129,3.88906448E7,5.021952087833247
2014,6,Línea 12,3864218,1.9048522400000006E7,4.92946371038073
2020,7,Línea A,3574463,1.8694446E7,5.230001261727986
2015,8,Línea 9,9789342,3.9808644E7,4.066529088471932
2018,7,Línea 7,8772861,4.1045981E7,4.678745166485597
2018,5,Línea 3,19241083,8.3241777E7,4.326252165743477
2018,7,Línea 5,6454106,2.2919791E7,3.551195316593809
2020,7,Línea 9,3914744,1.5754483E7,4.024396742162451
2013,11,Línea B,14429088,4.1011045199999996E7,2.8422479092233686
2020,10,Línea 6,1931073,6717548.0,3.478660827425996
2013,5,Línea 12,7453210,2.7360962700000003E7,3.6710306968406905
2018,5,Línea 8,11194246,4.9803215E7,4.449001299417576
2013,5,Línea 3,20777474,5.7823941E7,2.78301111097528
2013,5,Línea A,7554008,2.17532864E7,2.8797012658710446
2015,8,Línea 7,8244565,4.2852792E7,5.197702001257798
2014,5,Línea B,13463868,5.90079245E7,4.382687389686232
2014,6,Línea B,12739663,5.5023584699999996E7,4.319076941046243
2015,8,Línea 4,2625468,1.2577903E7,4.790727976878789
2014,5,Línea 12,4063317,2.1353765990000002E7,5.255254756151194
2013,5,Línea 9,10223839,2.61285485E7,2.5556494483138867
2018,7,Línea 2,21538369,8.9426637E7,4.15196884220899
2018,5,Línea 4,2558239,1.1459843E7,4.479582634773373
2013,11,Línea 4,2755546,8411410.5,3.0525385894483343
2018,5,Línea A,8531363,2.7984438E7,3.280183717420065
2014,6,Línea 6,3724737,1.72530126E7,4.632008273335809
2020,7,Línea B,5740062,2.3499317E7,4.093913445534212
2014,6,Línea 1,20987287,8.492054939999998E7,4.046285229720257
2018,7,Línea B,11724434,4.8620733E7,4.146957797706908
2018,7,Línea 8,10545928,4.5979628E7,4.359941391596832
2020,10,Línea 2,10658360,4.9571709E7,4.650969661373795
2020,7,Línea 5,3027405,1.2086147E7,3.9922464949354315
